,cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power,x,y,new_cellname,id,fo4_delay,fix_load_delay,group_id,libcell_id,size_class,size_class2,size_cnt
1257,_565_,0,0,0,7938,3780,8424,4050,0,0,0,HAxp5_ASAP7_75t_R,6.852962641801241e-11,1.747837359289406e-06,8181.0,3915.0,cell1257,2599,3.774729140371136e-11,2.860462040843448e-11,53,99,0,0,1
1258,_566_,0,0,0,7722,7020,8208,7290,0,0,0,HAxp5_ASAP7_75t_R,6.828547449710953e-11,1.465466084482614e-06,7965.0,7155.0,cell1258,2600,3.774729140371136e-11,2.860462040843448e-11,53,99,0,0,1
1259,_567_,0,0,0,10962,7020,11448,7290,0,0,0,HAxp5_ASAP7_75t_R,6.851531147988865e-11,1.3753002576777362e-06,11205.0,7155.0,cell1259,2601,3.774729140371136e-11,2.860462040843448e-11,53,99,0,0,1
1260,_568_,0,0,0,9288,10800,9774,11070,0,0,0,HAxp5_ASAP7_75t_R,6.827886867011301e-11,1.113353505388659e-06,9531.0,10935.0,cell1260,2602,3.774729140371136e-11,2.860462040843448e-11,53,99,0,0,1
1261,_569_,0,0,0,9828,9990,10314,10260,0,0,0,HAxp5_ASAP7_75t_R,6.85295986624368e-11,1.5045181953610154e-06,10071.0,10125.0,cell1261,2603,3.774729140371136e-11,2.860462040843448e-11,53,99,0,0,1
1262,_570_,0,0,0,8802,10800,9288,11070,0,0,0,HAxp5_ASAP7_75t_R,6.830414012171103e-11,1.4503001466437129e-06,9045.0,10935.0,cell1262,2604,3.774729140371136e-11,2.860462040843448e-11,53,99,0,0,1
1263,_571_,0,0,0,7074,10260,7560,10530,0,0,0,HAxp5_ASAP7_75t_R,6.830415399949885e-11,1.8406669823889388e-06,7317.0,10395.0,cell1263,2605,3.774729140371136e-11,2.860462040843448e-11,53,99,0,0,1
1264,_572_,0,0,0,5778,10800,6264,11070,0,0,0,HAxp5_ASAP7_75t_R,6.83040568549842e-11,1.495494757364213e-06,6021.0,10935.0,cell1264,2606,3.774729140371136e-11,2.860462040843448e-11,53,99,0,0,1
1265,_573_,0,0,0,5616,10530,6102,10800,0,0,0,HAxp5_ASAP7_75t_R,6.830398746604516e-11,1.0963576642097903e-06,5859.0,10665.0,cell1265,2607,3.774729140371136e-11,2.860462040843448e-11,53,99,0,0,1
1266,_574_,0,0,0,5022,8910,5508,9180,0,0,0,HAxp5_ASAP7_75t_R,6.830350174347187e-11,1.49721040543227e-06,5265.0,9045.0,cell1266,2608,3.774729140371136e-11,2.860462040843448e-11,53,99,0,0,1
